code,current,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,family,lang,coach,reason,hero,influence,philosophy,sporting_relatives,ritual,other_sports
1545302,TRUE,GARCIA Eduardo Terrance,GARCIA ET,Eduardo Terrance GARCIA,Male,Athlete,ISV,"Virgin Islands, US","Virgin Islands, US",United States,United States of America,USA,180,0,['Athletics'],"[""Men's Marathon""]",11/20/92,"JACKSONVILLE, FL",United States,"GREENVILLE, SC",United States,,,"Athlete, assistant retail manager",Graduated in 2016 with a Bachelor's degree in Sport Management from the  University of Florida (USA),"Wife, Sydney Laine","English, Spanish",Personal: Mike Caldwell (USA),His older brother Francisco was one of the best high school runners in Florida,,,,,,
1545341,TRUE,NJIE Faye,NJIE F,Faye NJIE,Male,Athlete,GAM,Gambia,Gambia,Gambia,Gambia,GAM,0,0,['Judo'],['Men -73 kg'],11/23/93,HELSINKI,Finland,HELSINKI,Finland,,"Hiking, fishing, football",Athlete,Graduated in 2021 with a Bachelor's of Physical Education at University of Wolverhampton (GBR),"Father, Ebrima Njie. Mother, Merja Juntunen. Brother, Kemba","English, Finnish, French, Swedish",Personal: Robert Perovuo (FIN),"Used to play football but a childhood friend wanted to start judo and didn't want to sign up for the course on his own. ""He asked me to join with him and I got into it immediately."" (Athlete, 25 Jun 2024)","Footballer Lionel Messi (ARG), FIFA World Cup winner (2022), Copa America winner (2021), eight time Ballon d'Or winner. Lifted every major club prize in the game with Barcelona and won gold at the 2008 Olympic Games in Beijing","His mother. ""She is very hard working and always helpful towards others."" (Athlete, 25 Jun 2024)","""Hard work eventually pays off."" (Athlete, 25 Jun 2024)",,,
1545461,TRUE,KUSKOVA Yanina,KUSKOVA Y,Yanina KUSKOVA,Female,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,0,0,['Cycling Road'],"[""Women's Road Race""]",12/5/01,,,,,,,Athlete,,,"Russian, Uzbek",,,,,,,,
1545464,TRUE,SINGH Sarabjot,SINGH S,Sarabjot SINGH,Male,Athlete,IND,India,India,India,India,IND,0,0,['Shooting'],"['10m Air Pistol Men', '10m Air Pistol Mixed Team']",9/30/01,AMBALA,India,AMBALA,India,Sabby,"Gaming, cafe hopping",,Graduated in 2023 with a Bachelor's degree in Arts from the Panjab University (IND),"Father, Jitender. Mother, Hardeep Kaur. One younger brother","English, Hindi, Panjabi",National: Samaresh Jung (IND).<br>Personal: Abhishek Rana (IND),Saw a few kids wielding air guns at a makeshift range during a summer camp and was fascinated by them,His father,"His friend, Aditya Malra. ""He has been with me since day one and has motivated me through every stage of my life."" (Athlete, 18 Mar 2024)","""Stay fit and disciplined."" (Athlete, 18 Mar 2024)",,,
1545471,TRUE,DHILLON Raiza,DHILLON R,Raiza DHILLON,Female,Athlete,IND,India,India,India,India,IND,0,0,['Shooting'],['Skeet Women'],4/20/04,CHANDIGARH,India,HARYANA,India,Raizu,"Crocheting, reading",Athlete,,"Father, Ravijit Singh. Mother, Gul","English, Hindi",National: Ennio Falco (ITA).<br>Personal: Amrinder Cheema (IND),"Grew up seeing pictures of guns owned by her late grandfather and wanted to hold a real gun when she grew up. “At our home, my father and other relatives would always talk about shotguns and their love for guns. Growing up, I would always be interested in touching them and holding them in my hands when I grew up. So when I turned 12, I asked my father to get me enrolled in shooting and that’s where the journey started for me."" (indianexpress.com, 28 Oct 2023)","Shooter Vincent Hancock (USA), three-time Olympic skeet champion (2008, 2012, 2020), 10-time world championship medallist (seven gold, two silver, one bronze)","Kobe Bryant. ""Because of his inspirational quotes."" (Athlete, 22 Mar 2024)</p><p>Her mother. ""For her constant help in making me stronger."" (Athlete, 22 Mar 2024)","""It's not over until it's over, so fight until the end."" (Athlete, 22 Mar 2024)",,,
1545478,TRUE,TSVETKOV Nikita,TSVETKOV N,Nikita TSVETKOV,Male,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,0,0,['Cycling Road'],"[""Men's Road Race""]",2/14/05,,,,,,,Athlete,,,Russian,,,,,,,,
1545496,TRUE,WU Shao-Hsuan,WU SH,WU Shao-Hsuan,Male,Athlete,TPE,Chinese Taipei,Chinese Taipei,Chinese Taipei,Chinese Taipei,TPE,0,0,['Canoe Slalom'],"[""Men's Kayak Single"", ""Men's Kayak Cross""]",11/25/97,,Chinese Taipei,,,,,Athlete,National Taiwan University of Sport in Taichung (TPE),,Mandarin,,,,,,,,
1545498,TRUE,CHANG Chu-Han,CHANG CH,CHANG Chu-Han,Female,Athlete,TPE,Chinese Taipei,Chinese Taipei,Chinese Taipei,Chinese Taipei,TPE,0,0,['Canoe Slalom'],"[""Women's Kayak Single"", ""Women's Kayak Cross""]",3/1/93,TAICHUNG,Chinese Taipei,TAICHUNG,Chinese Taipei,,Watching movies,"Athlete, coach",Taichung University of Education (TPE). Has studied for a Master's degree at Taiwan University of Sport in Chinese Taipei,,Mandarin,,Initially she felt canoe slalom might be interesting because she had never heard of it. She later fell in love with the sport,"Canoe sprint paddler Birgit Fischer (GER), 12-time Olympic medallist (eight gold, four silver), 37-time world championship medallist (1979-2005) with 27 gold (1979-1998). Twice her nation's Olympic ceremony flagbearer (1996 closing, 2000 opening)",,"""The amount you contribute may not always equal the amount you gain, but without contribution, you will gain nothing."" (Athlete, 15 Aug 2018)",,,
1545501,TRUE,LAI Kuan-Chieh,LAI KC,LAI Kuan-Chieh,Male,Athlete,TPE,Chinese Taipei,Chinese Taipei,Chinese Taipei,Chinese Taipei,TPE,0,0,['Canoe Sprint'],"[""Men's Canoe Single 1000m""]",12/29/96,JIAOXI TOWNSHIP,Chinese Taipei,YILAN COUNTY,Chinese Taipei,,,Athlete,"Graduated with a Bachelor's degree in Physical Education from Fo Guang University (Yilan County, TPE)",,Mandarin,Personal: Yu Chih-wei (TPE),Competed in the shot put in athletics at high school but a coach Liao Xuefu thought he was physically suited for paddling and encouraged him to try the sport,,,,,,
1545512,TRUE,BIN KASDAN Mohamad Aniq,BIN KASDAN MA,Mohamad Aniq BIN KASDAN,Male,Athlete,MAS,Malaysia,Malaysia,Malaysia,Malaysia,MAS,0,0,['Weightlifting'],"[""Men's 61kg""]",6/16/02,SEGAMAT,Malaysia,,,,,Athlete,"Studied Sport and Recreation Science at the Technology University MARA Sabah (Kota Kinabalu, MAS)",,Malaysian,"Personal: Yon Haryono (INA), Edmund Yeo (MAS)",,,,,,,
1545688,TRUE,NEMOUR Kaylia,NEMOUR K,Kaylia NEMOUR,Female,Athlete,ALG,Algeria,Algeria,Algeria,Algeria,ALG,0,0,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",12/30/06,SAINT-BENOIT-LA-FORET,France,,France,,"Drawing, baking, shopping",Athlete,,"Father, Jamel Nemour. Mother, Stephanie Nemour. Older sister. Younger sister, Elina. Two brothers","English, French","Personal: Marc Chirilcenco, Gina Chirilcenco","Her older sister was already training, so her mother enrolled her, too","Artistic gymnast Youna Dufournet (FRA), 2012 Olympian, 2009 World Championships vault bronze medallist, who also trained at her club",,,"Her older sister competed in artistic gymnastics at the national level in France. </p><p>Her younger sister, Elina, competes in artistic gymnastics at the national level in France",,
1545803,TRUE,FAKHRUTDINOVA Alise,FAKHRUTDINOVA A,Alise FAKHRUTDINOVA,Female,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,0,0,['Modern Pentathlon'],"[""Women's Individual""]",2/23/90,MOSCOW,Russian Federation,MOSCOW,Russian Federation,,"Getting manicures, shopping, going to the cinema, reading books",,"Coaching at Russian State University of Physical Education, Sport, Youth and Tourism (Moscow, RUS)",,Russian,National: Evdokiya Grechishnikova (RUS),"Six months after her parents enrolled her in swimming, her coach suggested she switch to modern pentathlon as she was an active child and would get interested in the sport's five disciplines",,Her parents,,,,
1545856,TRUE,ALONSO Luana,ALONSO L,Luana ALONSO,Female,Athlete,PAR,Paraguay,Paraguay,Paraguay,Paraguay,PAR,0,0,['Swimming'],"[""Women's 100m Butterfly""]",3/19/04,ASUNCION,Paraguay,"DALLAS, TX",United States,Lua,"Reading, running",Student,"Studying Political Science at Southern Methodist University, Dallas (TX, USA)",,"English, Portuguese, Spanish",Club: Juan Lobo (PAR),"Her grandfather taught her how to swim. She started to focus on swimming after winning her first competition. ""At that moment I realised that swimming was my thing."" (myInfo)",Her father,Her father,"""Go with everything or it's better not to go."" (myInfo)",,She paints her nails to match the colour of her swimsuit,
1545877,TRUE,LEHAIR Jeanne,LEHAIR J,Jeanne LEHAIR,Female,Athlete,LUX,Luxembourg,Luxembourg,Luxembourg,Luxembourg,LUX,0,0,['Triathlon'],"[""Women's Individual""]",3/30/96,METZ,France,MARLY,France,,Travelling,Athlete,Information and Communication studies at University of Metz (FRA),,"English, French",Paulo Sousa,Her father introduced her to the sport,,,"“The only way to be followed by others is to run faster.” (Twitter, 2023)",,,
1545879,TRUE,MAJERUS Christine,MAJERUS C,Christine MAJERUS,Female,Athlete,LUX,Luxembourg,Luxembourg,Luxembourg,Luxembourg,LUX,0,0,['Cycling Road'],"[""Women's Road Race""]",2/25/87,"LUXEMBOURG, CITY",Luxembourg,PARIS,France,,,"Athlete, serves in the army",,,"English, French, Luxembourgish",,"A foot injury ended her athletics career, so she started competing in duathlon and triathlon. The bike leg was her strongest discipline, and after her injury flared up again she decided to compete solely in cycling",,,,,,"Athletics: Won national titles as a junior in 400m and 800m. </p><p>Duathlon: Finished 16th at the 2005 Duathlon European Championships in Debrecen, Hungary. </p><p>Cyclocross and mountain bikes: Has represented Luxembourg at the cyclocross world championships and won a gold medal in mountain biking at the 2013 Games of the Small States of Europe in Luxembourg"
1545881,TRUE,van der WEKEN Patrizia,van der WEKEN P,Patrizia van der WEKEN,Female,Athlete,LUX,Luxembourg,Luxembourg,Luxembourg,Luxembourg,LUX,173,0,['Athletics'],"[""Women's 100m""]",11/12/99,,,,,,,Athlete,Bachelor’s degree in International Sports Management. Studying an MBA in International Sport Management and Digitalisation at Lunex University (LUX),"Father, Patrick. Mother, Chantal","English, French, German, Luxembourgish",Personal: Arnaud Starck (LUX),"His parents, who were involved in sports, wanted him to play something and have a healthy balance in life","Sprinter Shelly-Ann Fraser-Pryce (JAM), three-time Olympic champion (four silver, one bronze), 16-time world championship medallist (10 gold, five silver, one bronze). In the 100m specifically, two-time Olympic champion (2008, 2012), five-time world champion (2009, 2013, 2015, 2019, 2022)",Coach Arnaud Starck,,,,
1545882,TRUE,MATEOS Matheo,MATEOS M,Matheo MATEOS,Male,Athlete,PAR,Paraguay,Paraguay,Paraguay,Paraguay,PAR,0,0,['Swimming'],"[""Men's 200m Individual Medley""]",11/10/00,ASUNCION,Paraguay,,Paraguay,,,Student,"Graduated with a degree in Business Administration at Lindenwood University, St. Charles (MO, USA)",,Spanish,,,"Swimmer Michael Phelps (USA), 28-time Olympic medallist (23 gold, three silver, two bronze); 33-time world championship medallist (26 gold, six silver, one bronze)",,,,,
1545903,TRUE,BRAIDOT Luca,BRAIDOT L,Luca BRAIDOT,Male,Athlete,ITA,Italy,Italy,Italy,Italy,ITA,0,0,['Cycling Mountain Bike'],"[""Men's Cross-country""]",5/29/91,GORIZIA,Italy,,,,Motocross,Athlete,,"Partner, Alice Maria Arzuffi. Father, Mauro. Twin brother, Daniele","English, Italian",National: Mirko Celestino (ITA).<br>Personal: Claudio Cucinotta (ITA),His grandfather taught him and his twin brother how to ride,,His family,,"Partner, Alice Maria Arzuffi (road cycling/cyclocross), rides for Ceratizit - WNT Pro Cycling and competed in the Tour de France Femmes in 2022 and 2023. </p><p>Twin brother, Daniele Braidot (mountain biking/cyclocross), finished ninth at the 2018 World Championships, rides for CS Carabinieri - Cicli Olympia",,
1545907,TRUE,AVONDETTO Simone,AVONDETTO S,Simone AVONDETTO,Male,Athlete,ITA,Italy,Italy,Italy,Italy,ITA,0,0,['Cycling Mountain Bike'],"[""Men's Cross-country""]",4/15/00,MONCALIERI,Italy,SAN SECONDO DI PINEROLO,Italy,,"Cooking, listening to music, cross-country skiing, alpine skiing, mountaineering","Athlete, student",Studies Civil Engineering,"Older brother, Gabriele",Italian,National: Mirko Celestino (ITA).<br>Personal: Walter Costa (ITA),He followed his father and older brother into the sport,"Mountain biker Julien Absalon (FRA), two-time Olympic champion (2004, 2008), nine-time world championship medallist (five gold, two silver, two bronze).</p><p>Mountain biker Jaroslav Kulhavy (CZE), two-time Olympic medallist (2012 gold, 2016 silver), four-time world championship medallist (one gold, three silver).</p><p>Mountain biker Nino Schurter (SUI), three-time Olympic medallist (2016 gold, 2012 silver, 2008 bronze), 25-time world championship medallist (17 gold, seven silver, one bronze)",,,,,Triathlon: Participated in the 2019 Winter World Championships and Winter European Championships
1545909,TRUE,BERTA Martina,BERTA M,Martina BERTA,Female,Athlete,ITA,Italy,Italy,Italy,Italy,ITA,0,0,['Cycling Mountain Bike'],"[""Women's Cross-country""]",3/25/98,TURIN,Italy,,,,"Cooking, although describes herself as ""a bit of a failure"", spending time with family. (quimtbmagazine.it, 4 Jul 2023)","Athlete, sport soldier",Sport Science at the University of Turin (ITA),"Older brothers, Matteo and Francesco",Italian,National: Mirko Celestino (ITA),"Followed her parents and older brothers into cycling, but got into racing by chance. When her bike broke down, the mechanic invited her and her brothers to take part in a race he was organising. She competed in both mountain biking and cross-country skiing until 2015 when she won the Italian Championships and the Junior World Championships and gave up skiing",,,,"Brother, Matteo Berta (mountain biking), raced professionally on the Enduro World Series circuit. In 2022, he won a national title in E-MTB Enduro and placed fourth in (non-motorised) Enduro",,"Cross-country skiing: In 2013, she claimed a bronze medal at the Italian junior championships"
1545910,TRUE,TEOCCHI Chiara,TEOCCHI C,Chiara TEOCCHI,Female,Athlete,ITA,Italy,Italy,Italy,Italy,ITA,0,0,['Cycling Mountain Bike'],"[""Women's Cross-country""]",12/8/96,BERGAMO,Italy,,,,"Reading, singing, motocross, playing the ukulele, spending time with family","Athlete, sport soldier",,"Partner, Vlad Dascalu. Father, Ubaldo",Italian,"National: Mirko Celestino (ITA).<br>Personal: Enrico Licini (ITA), Alessio Camilli (ITA)","Grew up dancing, but started mountain biking competitively when her father and her hairdresser - who had a cycling team - encouraged her to pursue a sport that better channeled her high energy","Alpine skier Sofia Goggia (ITA), two-time Olympic downhill medallist (2018 gold, 2022 silver), two-time world championship medallist (2019 super-G silver, 2017 giant slalom bronze)",,"""Be brave."" (Instagram, 24 Jun 2024)</p><p>""The cure for anything is salt water: sweat, tears, or the sea."" (Facebook profile)","Partner, Vlad Dascalu (mountain bike), finished seventh at Tokyo 2020 representing Romania. Two top-five world championships finishes in cross country (fourth in 2021, fifth in 2023)",,Cyclocross: Won back-to-back European U23 titles in the discipline in 2016 and 2017
1545913,TRUE,BERTAGNOLI Pietro,BERTAGNOLI P,Pietro BERTAGNOLI,Male,Athlete,ITA,Italy,Italy,Italy,Italy,ITA,0,0,['Cycling BMX Racing'],['Men'],8/22/99,,,VERONA,Italy,,"Snowboarding, travelling, weightlifting",Athlete,,,"English, Italian",Tommaso Lupi (ITA),"Played football and did BMX racing when he was a child. He eventually chose to focus on the latter, because he enjoyed it more",,,,,,
1545944,TRUE,JOBE Ousman,JOBE O,Ousman JOBE,Male,Athlete,GAM,Gambia,Gambia,Gambia,Gambia,GAM,0,0,['Swimming'],"[""Men's 50m Freestyle""]",11/27/05,,Gambia,PHUKET,Thailand,,,,,,,,,,,,,,
1545964,TRUE,ANN Alasan,ANN A,Alasan ANN,Male,Athlete,GAM,Gambia,Gambia,Gambia,Gambia,GAM,0,0,['Taekwondo'],['Men +80kg'],9/29/00,MN,United States,MN,United States,,,Athlete,"Studied at Saint Mary's University of Minnesota (Winona, USA)",,English,Personal: Sang Cha,He dared to dream of competing at the Olympic Games,,,,,,
1545966,TRUE,SISSOKO Fode,SISSOKO F,Fode SISSOKO,Male,Athlete,MLI,Mali,Mali,Mali,Mali,MLI,180,0,['Athletics'],"[""Men's 100m""]",10/9/96,BAMAKO,Mali,LILLE,France,,,"Athlete, handler in a furniture company",Studied  Physical Education at the Malian National Institute of Youth and Sports in Bamako (MLI),Five siblings,"Bambara, French",Personal: Didier Baudouin (FRA),"""I started athletics during the entrance examination to the Malian National Institute of Youth and Sports (INJS). During the tests I was spotted by the secretary general of INJS, Baradji Maiga."" (myInfo)","Sprinter Wayde van Niekerk (RSA), 2016 Olympic 400m champion, three-time world championship medallist (two gold, one silver), set the 400m world record (43.03) in 2016.</p><p>Sprinter Isaac Makwala (BOT), 2020 Olympic 4x400m relay bronze medallist, three-time world championship finalist, double gold at 2018 Commonwealth Games (400m/4x400m)",,,,,
1546047,TRUE,CLANCY Dean,CLANCY D,Dean CLANCY,Male,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,178,0,['Boxing'],"[""Men's 63.5kg""]",10/20/01,SLIGO,Ireland,SLIGO,Ireland,,,,,"Father, Jason. Older brother, Jason",English,"Personal: Jason Clancy (IRL), his father",,,,,"Older brother, Jason (boxing), a two-time national champion who just missed out on going to the 2023 European Games, which doubled as an Olympic qualification tournament for Paris 2024, losing to world championships bronze medallist Keelan Cassidy in the final of the 2023 Irish National Elite Championships",,
1546048,TRUE,MOOREHOUSE Daina,MOOREHOUSE D,Daina MOOREHOUSE,Female,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,150,0,['Boxing'],"[""Women's 50kg""]",9/16/01,DUBLIN,Ireland,BRAY,Ireland,,,,,"Brother, Michael",English,Personal: Paul O'Toole (IRL),Her brother Michael was already boxing and their mother encouraged Daina to join him at the local boxing club,"Boxer Katie Taylor (IRL), 2012 Olympic lightweight champion",,,"Great-grandfather, Johnny Maloney (boxing), was a professional in Bray (IRL)",,
1546049,TRUE,LEHANE Jennifer,LEHANE J,Jennifer LEHANE,Female,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,160,0,['Boxing'],"[""Women's 54kg""]",8/19/98,,Ireland,ASHBOURNE,Ireland,,,Works as a primary school teacher (currently on hold while she pursues her Olympic dream),Graduated from Dublin City University (IRL),"Partner, Shane. Mother, Pauline. Father, Seamus. Fourth of six siblings, including oldest brother, Seamus, and sisters, Sarah and Isabel",English,"Club: Derek Ahern (IRL), Trevor Johnson (IRL)","""I never planned to pursue a boxing career, but there was a boxing club in college. I had always wanted to try it out and in my second year in college I just went down and gave it a few goes - I think at the time I was taking a break from taekwondo training. I instantly fell in love with it and just kept going from there."" (meathchronicle.ie, 28 Jul 2022)",,,,"Older sister, Sarah (taekwondo), has won a world title and several European titles",,"Taekwondo: first competed internationally at age 15, winning silver at the 2013 Junior World Championships, bronze in the 2017 World Championships, and was two-time European champion (2018, 2019).  </p><p>Kickboxing: has competed internationally in various tournaments"
1546051,TRUE,MARLEY Jack,MARLEY J,Jack MARLEY,Male,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,186,0,['Boxing'],"[""Men's 92kg""]",11/16/02,,Ireland,SALLYNOGGIN,Ireland,,"Looking at his phone, swimming, going for walks, eating",,,,English,"Club: JP Kinsella (IRL).<br>National: Zaur Antia (GEO), Damien Kennedy (IRL)","Did both boxing and football until his early teens. ""But I just fell in love with boxing, and that was it."" (irishtimes.com, 27 Feb 2024)","Boxer Kellie Harrington (IRL), 2020 Olympic lightweight champion, two-time world championship medallist (2018 gold, 2016 silver)",,,,,
1546052,TRUE,McGRORY Kelly,McGRORY K,Kelly McGRORY,Female,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,171,0,['Athletics'],"[""Women's 4 x 400m Relay"", '4 x 400m Relay Mixed']",12/24/96,,,,,,,"Athlete, sports programme manager at Irish Wheelchair Association (IRL)",Bachelor's degree in Sport Science from Dublin City University (IRL),"Partner, Thomas Barr",English,,,,,,,,
1546055,TRUE,HILL Danielle,HILL D,Danielle HILL,Female,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,0,0,['Swimming'],"[""Women's 100m Backstroke"", ""Women's 4 x 100m Freestyle Relay"", ""Women's 4 x 100m Medley Relay"", ""Women's 50m Freestyle""]",9/27/99,BELFAST,Great Britain,NEWTOWNABBEY,Great Britain,D,,"Athlete, coach",Studied Sport and Exercise Science at Ulster University Jordanstown (IRL),"Father, David. Mother, Caroline. Older sister, Louise",English,Club: Peter Hill (IRL),Mother introduced her to the sport when they were on holiday,,Coach Peter Hill (IRL),"""Look for the small successes and keep going. All it takes is for one performance to change your life. Do the work, turn up and believe in your ability."" (myInfo)",,,
1546057,TRUE,WALSH Aidan,WALSH A,Aidan WALSH,Male,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,180,0,['Boxing'],"[""Men's 71kg""]",3/28/97,BELFAST,Great Britain,BELFAST,Great Britain,,Fishing,Athlete,,"Partner, Courtney McFarlane. Father, Damien. Older sister, Michaela (boxer)",English,,"Has wanted to be a boxer since he was a child. ""I remember when I was a kid seeing all these different boxers and thinking, 'That would be amazing'."" (myInfo)",,,"""Getting to do something you love every day is a blessing. I love training, I love being active."" (myInfo)","Sister, Michaela Walsh (boxing), competed at the Tokyo 2020 Olympic Games and will do so again at Paris 2024. She is a three-time Commonwealth Games medallist (gold - 2022, silver - 2014, 2018)",,
1546073,TRUE,JACKSON Shericka,JACKSON S,Shericka JACKSON,Female,Athlete,JAM,Jamaica,Jamaica,Jamaica,Jamaica,JAM,173,0,['Athletics'],"[""Women's 200m"", ""Women's 4 x 100m Relay""]",7/16/94,ST ANN'S BAY,Jamaica,KINGSTON,Jamaica,Jacko,Sleeping and reading,Athlete,"University of Technology, Kingston (JAM)","Father, Desmond. Mother, Dione. Brother, Ian",English,Personal: Paul Francis (JAM),,,"Coach Constantine Haughton, and her father","“Never limit yourself and always maximise your potential. When you reach that breaking point, push a little harder. Results are monumental, especially ones achieved through sweat and tears.” (myInfo)",,,
1546108,TRUE,BOMMADEVARA Dhiraj,BOMMADEVARA D,Dhiraj BOMMADEVARA,Male,Athlete,IND,India,India,India,India,IND,0,0,['Archery'],"[""Men's Individual"", ""Men's Team"", 'Mixed Team']",9/4/01,VIJAYAWADA,India,VIJAYAWADA,India,,,"Athlete, sport soldier","Studies at SRR & CVR Government Degree College (Vijayawada, IND)","Father, B Shravan Kumar. Mother, Revathi",English,National / club: Sonam Tshering Bhutia (IND),,,,,,,
1546110,TRUE,RAI Tarundee,RAI T,Tarundeep RAI,Male,Athlete,IND,India,India,India,India,IND,0,0,['Archery'],"[""Men's Individual"", ""Men's Team""]",2/22/84,NAMCHI,India,NAMCHI,India,Tarun,,"Athlete, sport soldier",Studied Business Administration,"Wife, Anjana Bhattarai. Son, Nusam Singh. Father, Dil Bahadur. Mother, Meena. Older brother, Yogendeep. Younger sister, Ruby","English, Hindi, Nepali",National: Baek Woong Ki (KOR),"He first became interested when he saw a group of young men shooting blindfolded, a traditional and popular type of archery in Namchi",,,,"Cousin, Baichung Bhutia (football), scored 27 goals in 84 appearances for India between 1995 and 2011",,
1546112,TRUE,JADHAV Pravin Ramesh,JADHAV PR,Pravin Ramesh JADHAV,Male,Athlete,IND,India,India,India,India,IND,0,0,['Archery'],"[""Men's Individual"", ""Men's Team""]",7/6/96,,,SATARA,India,,"Going to the gym, cars","Athlete, sport soldier",,"Father, Ramesh",,National / club: Sonam Tshering Bhutia (IND),"He began his sporting career as a track and field athlete. While training at a state-run residential programme for young athletes in Pune, he was assessed by coaches who recommended he take up archery as his physique was more suited to the sport",,,,,,
1546122,TRUE,SIBIRTSEV Ilya,SIBIRTSEV I,Ilya SIBIRTSEV,Male,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,0,0,['Swimming'],"[""Men's 400m Freestyle"", ""Men's 800m Freestyle""]",4/28/01,BARNAUL,Russian Federation,"LOUISVILLE, KT",United States,,,Student,"Studying Communication at University of Louisville, (KT, USA)",,,Club: Arthur Albiero (BRA),,,,,,,
1546132,TRUE,KUMARI Deepika,KUMARI D,Deepika KUMARI,Female,Athlete,IND,India,India,India,India,IND,0,0,['Archery'],"[""Women's Individual"", ""Women's Team""]",6/13/94,RANCHI,India,PUNE,India,Deepa,"Listening to music, food",Athlete,"Studied at KMCT College (Jamshedpur, IND)","Husband, Atanu Das. Daughter, Vedika (born December 2022). Father, Shiv Charan Prajapati. Mother, Geeta Mahto","English, Hindi",National: Baek Woong Ki (KOR),"Her cousin was an archer and encouraged her to take up the sport, with the support of her mother. ""As per my mother's memories, I never used to miss my target while aiming for mangoes with stones during childhood, and that's why she motivated me in every step of attaining my dreams. Initially, my father was a little sceptical about it, but my cousin Vidya, who was already an archer at Tata Archery Academy, showed the way."" (myInfo)",,,,"Husband, Atanu Das (archery), two-time Olympian, placing ninth as an individual at both Rio 2016 and Tokyo 2020, and eighth in the team competition in Tokyo",,
1546133,TRUE,KAUR Bhajan,KAUR B,Bhajan KAUR,Female,Athlete,IND,India,India,India,India,IND,0,0,['Archery'],"[""Women's Individual"", ""Women's Team""]",8/26/05,,,,,,,Athlete,,"Father, Bhagwan Singh",,National: Baek Woong Ki (KOR).<br>Club: Lim Chae Woong (KOR),"After training in shot put for a year, she started competing in archery when she saw other students practising at her school",,,,,,
1546200,TRUE,BHAKAT Ankita,BHAKAT A,Ankita BHAKAT,Female,Athlete,IND,India,India,India,India,IND,0,0,['Archery'],"[""Women's Individual"", ""Women's Team"", 'Mixed Team']",6/17/98,KOLKATA,India,JAMSHEDPUR,India,,,Athlete,,"Father, Shantanu (milkman)",English,Club / National: Purnima Mahato (IND),"Fell in love with archery when she watched a local tournament. She then joined the Calcutta Archery Club (IND), borrowing the equipment of other students for many years as she could not afford her own",,,,,,
1546314,TRUE,MYALIN Igor,MYALIN I,Igor MYALIN,Male,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,0,0,['Diving'],"[""Men's 10m Platform""]",9/17/96,,,,,,,,,,Russian,,,,,,,,
1546614,TRUE,ZANOTTI Fabrizio,ZANOTTI F,Fabrizio ZANOTTI,Male,Athlete,PAR,Paraguay,Paraguay,Paraguay,Paraguay,PAR,170,0,['Golf'],"[""Men's Individual Stroke Play""]",5/21/83,ASUNCION,Paraguay,ASUNCION,Paraguay,,,,,One child,Spanish,,"""My father was a member of the Paraguayan Yacht Resort and Golf Club. He played golf and I was always with him from when I was little."" (golfchannel.com, 3 Feb 2016)",,,,,,
1546621,TRUE,NARVAEZ Gabriela,NARVAEZ G,Gabriela NARVAEZ,Female,Athlete,PAR,Paraguay,Paraguay,Paraguay,Paraguay,PAR,0,0,['Judo'],['Women -48 kg'],12/14/94,LANUS,Argentina,ASUNCION,Paraguay,Gebri,"Studying architecture, drawing, painting",Student and athlete,Architecture student,"Two sisters. Father, Gabriel Francisco Narvaez. Mother, Liliana Alejandra Villalba. Younger sisters, Paloma Jazmin Narvaez and Luna Morena Narvaez","English, Spanish","Taisei Fujimoto, Gabriel Narvaez","""Because my dad and my uncle were judokas on the national team."" (Athlete, 30 Apr 2024)","Judoka Ryoko Tamura-Tani (JPN), one of the few women to have won medals at five consecutive Olympic Games from 1992-2008 (two gold, two silver, one bronze), eight-time world championship medallist (seven gold, one bronze). </p><p>Judoka Kim Jae-Bum (KOR), two-time Olympic -81kg medallist (2012 gold, 2008 silver), three-time world championship medallist (two gold, one bronze)","""My father, as I started judo because of him."" (Athlete, 30 Apr 2024)","""He who fights until the end is not dead."" (Athlete, 30 Apr 2024)",,"""Same suitcase, same underwear, pray."" (Athlete, 30 Apr 2024)",
