code,current,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,family,lang,coach,reason,hero,influence,philosophy,sporting_relatives,ritual,other_sports
1533189,TRUE,TAPIA VIDAL Rosa Maria,TAPIA VIDAL RM,Rosa Maria TAPIA VIDAL,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Triathlon'],"[""Women's Individual""]",8/27/97,HERMOSILLO,Mexico,GUADALAJARA,Mexico,,,Athlete,"Nutrition - Universidad La Salle Noroeste, Ciudad Obregon, Mexico",,"English, Spanish",Luis Miguel Chávez Rincón,"She always liked running and was involved in swimming so her father encouraged her to try triathlon. “When I started practising it I realised that I liked it more than just swimming, it was more dynamic, more entertaining. I had always had the idea of ​​dedicating myself to this and seeking to qualify for the Olympic Games.” (mural.com.mx, 28 Mar 2023)",,,,,,
1533190,TRUE,GRAJALES Crisanto,GRAJALES C,Crisanto GRAJALES,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Triathlon'],"[""Men's Individual""]",5/6/87,XALAPA,Mexico,XALAPA,Mexico,"Diamante Negro (Black Diamond), Martillo Xalapeno (Hammer from Xalapa, given to him by Spanish triathlete Javier Gomez Noya)","Music, films",Athlete,Sport Studies - University of Veracuz (MEX),"Father, Crisanto Grajales Landa",Spanish,Personal: Eugenio Chimal (MEX),"Both his parents ran marathons. At age five his father used to take him to run alongside him. Four years later he took part in his first triathlon. ""I considered it a complete and dynamic sport."" (chicagotribune.com, 29 Jul 2016)",Athlete German Silva (MEX).</p><p>Boxer Julio Cesar Chavez (MEX),,"""In triathlon the body is pushed to the limit. You close your eyes and see a tunnel with a light at the end and the body is sustained only by the objective of reaching the goal."" (chicagotribune.com, 29 Jul 2016)",,,
1533208,TRUE,MAAROUFOU Hachim,MAAROUFOU H,Hachim MAAROUFOU,Male,Athlete,COM,Comoros,Comoros,Comoros,Comoros,COM,183,0,['Athletics'],"[""Men's 100m""]",2/13/97,MARSEILLE,France,MARSEILLE,France,,,Athlete,,,French,Personal: Franck Ne (FRA),"Started training in athletics to improve his cardio for football. He eventually turned his focus to athletics after his football coach told his players they should play for league relegation in 2015. ""It was unthinkable for me to play to lose."" (lamarseillaise.fr, 17 Jul 2003)",,,,,,
1533209,TRUE,SAADI Maesha,SAADI M,Maesha SAADI,Female,Athlete,COM,Comoros,Comoros,Comoros,Comoros,COM,0,0,['Swimming'],"[""Women's 50m Freestyle""]",1/16/07,VIENNE,France,SAINT-ROMAIN-EN-GAL,France,,,"Athlete, student",,"Fther, Abdou-Salam. Mother, Berangere Bardin",French,Personal: Marc-Olivier Froger,Recruited into the Comoros Swimming Federation after her first competition,,,,,,
1533230,TRUE,DIOSDADO Nuria,DIOSDADO N,Nuria DIOSDADO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Artistic Swimming'],"['Team', 'Duet']",8/22/90,GUADALAJARA,Mexico,MEXICO CITY,Mexico,"Nutria (""Otter"" in Spanish)","Spending time with friends, playing the piano, going to the cinema","Athlete, sport soldier","Studied Business Administration at Anahuac University (MEX) and later completed two Master's Degrees in Marketing and Public Image at the College of Public Image (Mexico City, MEX)","Husband, Javier Arnaiz (married May 2022). Father, Gilberto. Mother, Carmen Montserrat Garcia. Sister, Palmira Montserrat Diosdado",Spanish,National: Adriana Loftus (MEX),"Began artistic swimming to combat her hyperactivity and found it was a good way to express herself. At age 12, she was inspired to greatness by the Mexican team at the 2003 World Championships in Barcelona. “I am an example that you can get where you want with attitude and not exactly with aptitude. I was not a star child, nor did I demonstrate the qualities to do this sport when I was little."" (altonivel.com.mx, 6 Jan 2020)","Spanish artistic swimmer Gemma Mengual, 2008 Olympic silver medallist in duet and team",Her parents,"""Let everything you do be guided by your passion and conviction to reach a goal, no matter how difficult it may seem."" (myInfo)",,,
1533231,TRUE,JIMENEZ Joana,JIMENEZ J,Joana JIMENEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Artistic Swimming'],"['Team', 'Duet']",8/19/93,ECATEPEC DE MORELOS,Mexico,MEXICO CITY,Mexico,Joa,Dancing,"Athlete, sport soldier","Studied undergrad Psychology at the University of Latin America (Mexico City, MEX) and completed her Master's degree in the same subject at the Technological University of Mexico (Mexico City)","Brother, Jorge",Spanish,National: Adriana Loftus (MEX),"Her parents enrolled her in sporting activities such as athletics, basketball and swimming. During swimming lessons she discovered artistic swimming and was hooked. After feeling disappointed that she was not improving, however, she went back to athletics and took part in a junior national competition. A former coach encouraged her to return to artistic swimming and, at age 14, she decided to focus on it full-time. ""During a competition in Oaxtepec, Mexico, the first team was doing an exhibition and I was told they represented the national team. I said, 'Does that really exist?' And, at that moment, I wanted to be on that team and to represent Mexico."" (myInfo)",,"Fictional boxer Rocky Balboa from the ""Rocky"" movie series. ""I saw the entire Rocky saga with my father, and I said, 'Wow. I want to do what he does, I want to be just as good’. I even told my parents that I wanted to be a boxer... Although I didn't go into boxing, the truth is that Rocky Balboa taught me to be someone, and I always think that if he went from street fights to being world champion, I could do something like that too."" (heraldodemexico.com.mx, 2 Aug 2021)",,,,
1533232,TRUE,SOBRINO Jessica,SOBRINO J,Jessica SOBRINO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Artistic Swimming'],['Team'],5/26/94,MEXICO CITY,Mexico,MEXICO CITY,Mexico,,"Going to the movies, going to restaurants",Athlete,"Studied Business Administration at the Autonomous University of Mexico State (Toluca, MEX)","Sister, Pamela",Spanish,National: Adriana Loftus (MEX),Followed her sister into artistic swimming,,,,"Uncle, Salvador ""Chava"" Sabrino (diving), finished 11th in the 10m platform event at the 1980 Olympic Games and is head coach for the Australian national team",,
1533234,TRUE,ALFEREZ Regina,ALFEREZ R,Regina ALFEREZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Artistic Swimming'],['Team'],12/1/97,,,MEXICO CITY,Mexico,,"Travel, photography, cooking, spending time with friends",Athlete,"Studied at Tecmilenio University (Monterrey, MEX)",,Spanish,National: Adriana Loftus (MEX),,,,,,,
1533235,TRUE,ARELLANO Fernanda,ARELLANO F,Fernanda ARELLANO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Artistic Swimming'],['Team'],2/28/02,,,MEXICO CITY,Mexico,,,"Athlete, student","Studies at the University of the Valley of Mexico Coyoacan-Tlalpan (Mexico City, MEX)","Partner, Iker Casas",Spanish,National: Adriana Loftus (MEX),Trained in swimming since she was a young child and started artistic swimming after she was intrigued watching a practice one day,,,,"Partner, Iker Casas (taekwondo), won a bronze medal at the 2018 Central American and Caribbean Games (63kg) and a silver at the 2021 Pan American Championships (68kg)",,
1533237,TRUE,TOSCANO Pamela,TOSCANO P,Pamela TOSCANO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Artistic Swimming'],['Team'],1/13/00,,,GUADALAJARA,Mexico,,Choreography,"Athlete, sport soldier","Studied Business Administration at Anahuac University (Mexico City, MEX)",,Spanish,National: Adriana Loftus (MEX),,,,,,,
